Date,regime,prob_Inflationary,prob_Growth,prob_Risk-Off,prob_Stagflation
2021-09-30,Growth,0.0000,1.0000,0.0000,0.0000
2021-10-31,Growth,0.0000,1.0000,0.0000,0.0000
2021-11-30,Growth,0.0000,1.0000,0.0000,0.0000
2021-12-31,Growth,0.0001,0.9999,0.0000,0.0000
2022-01-31,Growth,0.0000,1.0000,0.0000,0.0000
2022-02-28,Growth,0.0000,1.0000,0.0000,0.0000
2022-03-31,Growth,0.0000,1.0000,0.0000,0.0000
2022-04-30,Growth,0.0001,0.9999,0.0000,0.0000
2022-05-31,Growth,0.0063,0.9937,0.0000,0.0000
2022-06-30,Growth,0.0261,0.9739,0.0000,0.0000
2022-07-31,Inflationary,0.6208,0.3791,0.0000,0.0000
2022-08-31,Inflationary,0.9840,0.0158,0.0000,0.0002
2022-09-30,Inflationary,0.9978,0.0019,0.0000,0.0003
2022-10-31,Inflationary,0.9929,0.0000,0.0000,0.0071
2022-11-30,Inflationary,0.9967,0.0000,0.0000,0.0032
2022-12-31,Inflationary,0.9819,0.0000,0.0000,0.0181
2023-01-31,Inflationary,0.9927,0.0000,0.0000,0.0073
2023-02-28,Inflationary,0.9936,0.0000,0.0000,0.0064
2023-03-31,Inflationary,0.9987,0.0000,0.0000,0.0013
2023-04-30,Inflationary,0.9998,0.0000,0.0000,0.0002
2023-05-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2023-06-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2023-07-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2023-08-31,Inflationary,0.9999,0.0000,0.0001,0.0000
2023-09-30,Inflationary,1.0000,0.0000,0.0000,0.0000
2023-10-31,Inflationary,1.0000,0.0000,0.0000,0.0000
2023-11-30,Inflationary,1.0000,0.0000,0.0000,0.0000
