Date,Nifty50,SP500,Gold,USBond,USDINR,US10Y,VIX
2009-04-28,3362.35009765625,855.1599731445312,87.75,60.557498931884766,50.43600082397461,3.002000093460083,37.95000076293945
2009-04-29,3473.949951171875,873.6400146484375,88.33000183105469,60.02109909057617,49.87099838256836,3.0959999561309814,36.08000183105469
2009-04-30,3473.949951171875,872.8099975585938,87.2699966430664,59.78342819213867,49.1879997253418,3.124000072479248,36.5
2009-05-01,3473.949951171875,877.52001953125,86.94999694824219,59.37192916870117,49.19200134277344,3.1740000247955322,35.29999923706055
2009-05-04,3654.0,907.239990234375,88.63999938964844,59.56760025024414,49.61000061035156,3.1570000648498535,34.529998779296875
2009-05-05,3661.89990234375,903.7999877929688,88.25,59.494197845458984,49.31100082397461,3.1570000648498535,33.36000061035156
2009-05-06,3625.050048828125,919.530029296875,89.54000091552734,59.35359573364258,49.30799865722656,3.1519999504089355,32.45000076293945
2009-05-07,3683.89990234375,907.3900146484375,89.44000244140625,57.90459442138672,49.189998626708984,3.2950000762939453,33.439998626708984
2009-05-08,3620.699951171875,929.22998046875,89.9800033569336,58.04526138305664,49.150001525878906,3.2929999828338623,32.04999923706055
2009-05-11,3554.60009765625,909.239990234375,89.69000244140625,58.87057113647461,49.292999267578125,3.180000066757202,32.869998931884766
2009-05-12,3681.10009765625,908.3499755859375,90.69999694824219,59.0845947265625,49.27299880981445,3.174999952316284,31.799999237060547
2009-05-13,3635.25,883.9199829101562,91.08999633789062,59.726505279541016,49.53099822998047,3.1050000190734863,33.650001525878906
2009-05-14,3593.449951171875,893.0700073242188,91.02999877929688,59.95886993408203,49.755001068115234,3.1070001125335693,31.3700008392334
2009-05-15,3671.64990234375,882.8800048828125,91.55000305175781,59.94053268432617,49.4119987487793,3.122999906539917,33.119998931884766
2009-05-18,4323.14990234375,909.7100219726562,90.36000061035156,59.01125717163086,47.5880012512207,3.2109999656677246,30.239999771118164
2009-05-19,4318.4501953125,908.1300048828125,90.95999908447266,58.69941329956055,47.43000030517578,3.243000030517578,28.799999237060547
2009-05-20,4270.2998046875,903.469970703125,92.25,59.31693649291992,47.22800064086914,3.2019999027252197,29.030000686645508
2009-05-21,4210.89990234375,888.3300170898438,93.8499984741211,57.825138092041016,47.23099899291992,3.3529999256134033,31.350000381469727
2009-05-22,4238.5,887.0,94.1500015258789,57.18318176269531,47.14500045776367,3.447999954223633,32.630001068115234
2009-05-25,4237.5498046875,887.0,94.1500015258789,57.18318176269531,47.27799987792969,3.447999954223633,32.630001068115234
2009-05-26,4116.7001953125,910.3300170898438,93.76000213623047,56.321128845214844,47.525001525878906,3.493000030517578,30.6200008392334
2009-05-27,4276.0498046875,893.0599975585938,93.44999694824219,55.324562072753906,47.50899887084961,3.694999933242798,32.36000061035156
2009-05-28,4337.10009765625,906.8300170898438,94.23999786376953,56.12547302246094,47.51499938964844,3.671999931335449,31.670000076293945
2009-05-29,4448.9501953125,919.1400146484375,96.19999694824219,57.57442855834961,46.96900177001953,3.4649999141693115,28.920000076293945
