Date,CPI,PMI,Repo_Rate,M2,India_VIX
2013-04-30,10.243912,99.283970,8.500000,84911600000000.000000,15.100000
2013-05-31,10.679620,99.259220,8.250000,86316830000000.000000,16.990000
2013-06-30,11.057685,99.240490,8.250000,87454110000000.000000,17.950001
2013-07-31,10.849063,99.227810,9.250000,87390140000000.000000,18.770000
2013-08-31,10.747670,99.220850,10.250000,87579040000000.000000,27.809999
2013-09-30,10.697681,99.218840,9.875000,88356720000000.000000,26.650000
2013-10-31,11.059900,99.220480,9.125000,89492410000000.000000,18.389999
2013-11-30,11.467893,99.224430,8.750000,91460910000000.000000,21.379999
2013-12-31,9.132418,99.229860,8.750000,92063780000000.000000,15.120000
2014-01-31,7.239822,99.236880,8.800000,92936240000000.000000,16.820000
2014-02-28,6.726462,99.245930,9.000000,93614990000000.000000,14.180000
2014-03-31,6.696433,99.257130,9.000000,94583220000000.000000,21.620001
2014-04-30,7.079649,99.269610,9.000000,96955500000000.000000,30.590000
2014-05-31,7.017547,99.282080,9.000000,97020970000000.000000,16.340000
2014-06-30,6.493511,99.293330,9.000000,97538480000000.000000,17.870001
2014-07-31,7.234033,99.302730,9.000000,98432420000000.000000,13.820000
2014-08-31,6.751047,99.310250,9.000000,99035550000000.000000,13.070000
2014-09-30,6.302514,99.316570,9.000000,99268040000000.000000,13.150000
2014-10-31,4.979250,99.323040,9.000000,101150650000000.000000,13.300000
2014-11-30,4.115214,99.331420,9.000000,102130740000000.000000,12.900000
2014-12-31,5.857735,99.343690,9.000000,102501760000000.000000,15.120000
2015-01-31,7.172997,99.361690,8.850000,103406110000000.000000,20.170000
2015-02-28,6.302514,99.387020,8.750000,104155850000000.000000,19.570000
2015-03-31,6.276155,99.420920,8.500000,105756750000000.000000,14.490000
2015-04-30,5.785118,99.463980,8.500000,107530920000000.000000,17.230000
2015-05-31,5.737699,99.516510,8.500000,108040640000000.000000,16.660000
2015-06-30,6.097554,99.578640,8.250000,109479400000000.000000,16.930000
