Date,EqualWeight,ClassicalMarkowitz,MLMarkowitz,MLRegimeAware,regime
2017-07-31,0.026308943764926096,0.032765818488032825,0.042250116340868865,0.042250116340868865,Inflationary
2017-08-31,0.015772317881075,0.014059376969048304,-0.0020398118367873598,-0.0020398118367873598,Inflationary
2017-09-30,-0.017889570448722802,-0.01675168905183215,-0.009429952431271153,-0.009429952431271153,Inflationary
2017-10-31,0.01964919683523797,0.018354427263501876,0.03851668437677466,0.03851668437677466,Inflationary
2017-11-30,0.008781025138831028,0.01094703528533238,0.01140771234182763,0.01140771234182763,Inflationary
2017-12-31,0.02110678923992909,0.019553137865013108,0.022318931999288156,0.022318931999288156,Inflationary
2018-01-31,0.02699104744041289,0.04239781261696511,0.048666479363410425,0.048666479363410425,Inflationary
2018-02-28,-0.038833674113249644,-0.03940023679945463,-0.04943093121959159,-0.04943093121959159,Growth
2018-03-31,-0.006971677929311637,-0.012501167464959152,-0.0043232242529595635,-0.0043232242529595635,Growth
2018-04-30,0.0017069149309501819,0.004726613975825545,0.009773231216704162,0.009773231216704162,Growth
2018-05-31,0.004309508570801535,-0.003937568724472751,0.004522610078410215,0.004522610078410215,Growth
2018-06-30,-0.011677311161522236,-0.019347519240127987,-0.009142741489800944,-0.009142741489800944,Growth
2018-07-31,0.015224018398177136,0.015203439974085768,0.04211819992226744,0.04211819992226744,Growth
2018-08-31,0.0028381094850872812,-0.00035047409650288113,0.0021655691802001656,0.0021655691802001656,Growth
2018-09-30,-0.028747144554322535,-0.024709046604548614,-0.040466656974889166,-0.040466656974889166,Growth
2018-10-31,-0.034075151298580963,-0.03593060721032323,-0.03358260972722867,-0.03358260972722867,Growth
2018-11-30,0.03554336348788989,0.021796629720302517,0.021401181855909987,0.021401181855909987,Growth
2018-12-31,0.003709240241375672,-0.01432048648146374,0.04392390538780398,0.04392390538780398,Growth
2019-01-31,0.022909628156524725,0.030886589778919046,-0.0017825895613169376,-0.0017825895613169376,Growth
2019-02-28,0.0013357648166111846,0.004580930847568377,0.006653184806051145,0.006653184806051145,Growth
2019-03-31,0.03945960321460479,0.01708602897661055,0.03734810047414353,0.03734810047414353,Growth
2019-04-30,0.005433909504108547,0.010193706657071724,0.02040089809462973,0.02040089809462973,Growth
2019-05-31,0.00815392714018251,-0.007362728984627934,-0.01765058614905102,-0.01765058614905102,Growth
2019-06-30,0.039142041408530504,0.05321741977878808,0.010872164741977532,0.010872164741977532,Growth
2019-07-31,-0.009439494365656165,-0.010285849381283185,-0.01770316868234299,-0.01770316868234299,Growth
